State,Date of First Shutdown,Level of First Shutdown,Industry Closed in First Shutdown,Details of First Shutdown,Type of Order,Initial Expiration Date,Expiration Notes,Expiration Sources,Date of Start of First Opening,Industry First Opening,Level of First Opening,Details of First Opening,Opening Plan Type and Description,Gathering Limit Under Lockdown,Guideline or Requirement,Gathering Limit at Reopening,Gathering Limit 6/5,Governor Gender,Sources,Government Source,Notes/Links for re-opening plans,,
Nebraska,3/18/2020,County-based,"Food and drink, houses of worship, entertainment, personal care","There wasn't a stay at home order, but the Governor issued Directed Health Measures (DHM) that were functionally the same according to the Whitehouse. Restaurants and bars were required to stop offering dine in services and gatherings of more than 10 people were prohibited. Retail stores were allowed to remain open if social distancing guidelines were met. Elective medical or dental work was prohibited. No distinction between essential and non essential businesses was made; everything was assumed to be essential. ",Health Mandate,4/30/2020,Did not have a stay at home order but did have directed health measures which were functionally the same thing according to the White House,https://www.ncnewspress.com/story/news/2020/03/28/ricketts-announces-third-state-covid-19-directed-health-measure/112035954/,5/4/2020,"Personal care, food and drink, houses of worship, entertainment",County-based,"The state is allowing local health departments to lift restrictions on a county basis. Beginning May 4th, restaurants, bars, salons, and other businesses were allowed to open with some restrictions. ","Haven't released an entire plan yet, but there are currently two phases. The state will begin moving counties into the second phase of reopening on June 1st. 

Phase One: Businesses can begin to open with several restrictions. Groups need to be less than 10 people. 

Phase Two: Everything can open with 50% capacity and social distancing measures implemented. Groups cannot exceed 25 people",10,R,10,25,M,"https://www.npr.org/2020/05/01/847413697/midwest-coronavirus-related-restrictions-by-state
https://governor.nebraska.gov/press/gov-ricketts-announces-15-counties-north-and-central-nebraska-now-included-state’s-directed
http://dhhs.ne.gov/Pages/COVID-19-State-Overview.aspx
http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx
https://www.1011now.com/content/news/Restrictions-being-loosened-in-multiple-counties-in-Nebraska-570378031.html
",TRUE,http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-II.pdf,,
Nevada,3/20/2020,Full,"Retail, personal care, food and drink, outdoor and recreation, houses of worship, entertainment. ","All non essential businesses were required to close. The main focus was on the entertainment industry, which is a large part of Nevada's economy. Licensed cannabis entities were deemed essential for delivery services. Restaurants were not allowed to offer dine in. Liquor stores were required to close. Pawn shops were deemed essential. ",Executive Stay-at-Home Order,4/30/2020,,https://www.npr.org/847416108#nevada   http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-31_-_COVID-19_Declaration_of_Emergency_Directive_010_-_Stay_at_Home_Order_(Attachments)/,5/9/2020,"Retail, personal care, food and drink, houses of worship, entertainment, outdoor and recreation",Partial,"Restaurants and retail establishments can operate at 50% capacity. Drive in movies, golf courses, tennis courts, and other outdoor recreation facilities may resume. Personal care services can resume with social distancing. Gatherings cannot exceed ten individuals. ",Phased reopening plan. They entered the first phase on May 9th and the second phase on May 29,10,R,10,50,M,"https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Declaration-of-Emergency-Directive-018.Phase-1-Reopening.5-7-20-1.pdf
http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-31_-_COVID-19_Declaration_of_Emergency_Directive_010_-_Stay_at_Home_Order_(Attachments)/
http://gov.nv.gov/News/Emergency_Orders/2020/2020-04-01_-_COVID-19_Declaration_of_Emergency_Directive_009_(Revised)/
http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-20_-_COVID-19_Declaration_of_Emergency_Directive_003_(Attachments)/
http://gov.nv.gov/uploadedFiles/govnewnvgov/Content/News/Emergency_Orders/2020_attachments/All-Guidance-Issued-on-Directives-003-and-013-Essential-Non-Essential-4-16-20.pdf
http://gov.nv.gov/uploadedFiles/govnewnvgov/Content/News/Emergency_Orders/2020_attachments/003-Memo-Clarifying-Liquor-Establishments-1.pdf",TRUE,,,
New Hampshire,3/27/2020,Full,"Retail, Personal Care, Food and Drink, Outdoor and Recreation, Houses of Worship, Entertainment",All beaches were closed. Individuals were directed to stay home and not gather with people outside of their households. All retail and entertainment was closed. ,Executive Stay-at-Home Order,4/6/2020,Initial restrictions were set to expire on April 6th but were later extended. ,https://www.governor.nh.gov/news-and-media/covid-19-emergency-orders-2020,5/11/2020,"Retail, Personal Care, Food and Drink, Entertainment",Partial,Retail stores and hair salons were allowed to open beginning on May 11th. Face masks were required and social distancing encouraged. Restaurants and retail stores can operate at 50% capacity. Hair salons can only offer basic services. Golf Courses are open to New Hampshire residents. ,No phases or staged plans. The Governor is communicating regular updates as they come forward. ,0,R,0,10,M,"https://www.nhpr.org/post/nh-businesses-salons-and-golf-reopen-some-say-its-too-soon#stream/0
https://twitter.com/GovChrisSununu/status/1243252548104065030/photo/1
https://www.nhpr.org/post/coronavirus-update-9-more-deaths-101-new-cases-reported-nh#stream/0",FALSE,https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#new-hampshire,,
New Jersey,3/21/2020,Full,"Retail, Industries, Personal Care, Food and Drink, Outdoor and Recreation, Houses of Worship, Entertainment. ","Similar to many other states. Everything non essential is shut down. Restaurants can offer takeout. All entertainment venues are closed. All indoor and outdoor recreation facilities are closed, including beaches. ",Executive Stay-at-Home Order,,The initial order had no definite expiration date.,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,5/18/2020,"Retail, outdoor and recreation, entertainment, industries, houses of worship",Partial,"Although the stay at home order does not expire until June 5th, the Governor has moved the state into the next phase of its reopening plan. In this plan, retail can offer curbside pickup, beaches and drive in activities may open, and non essential construction and medical procedures can resume. ","Five stage plan to reopen the economy:

Stage 1: This was full lockdown with the stay at home order in place. 

Stage 2: Low risk activities were allowed to resume. 

Stage 3: Additional activities allowed to resume that can be easily safeguarded

Stage 4: Most activities allowed with significant safeguarding. 

Stage 5: New normal. ",0,R,10,10,M,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,TRUE,"https://www.nj.com/coronavirus/2020/05/nj-reveals-multi-stage-coronavirus-reopening-plan-were-in-stage-1-murphy-says.html
https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#new-jersey",,
New Mexico,3/24/2020,Full,"Retail, Industries, Personal Care, Food and Drink, Outdoor and Recreation, Houses of Worship, Entertainment. ",Non essential construction and retail was shut down. Restaurants limited to takeout and delivery. Outdoor recreation was not deemed essential. People were allowed to exercise outdoors but were asked to return indoors as soon as possible. The state directed grocery stores to limit certain items to prevent hoarding. Entertainment venues were asked to close. ,Executive Stay-at-Home Order,4/10/2020,,https://www.governor.state.nm.us/2020/03/23/state-enacts-further-restrictions-to-stop-spread-including-stay-at-home-instruction/,5/16/2020,"Retail, Houses of Worship ",Partial,"Retailers, offices, and houses of worship were allowed to open on May 16th with limited capacities. The stay at home order does not expire until May 31st. Restaurants might be able to open for dine in services in early June. ","There isn't a phase or stage plan released yet, but there are guidelines that different industries need to meet before they will be allowed to open. These guidelines can be found here. ",0,R,0,5,F,"https://cv.nmhealth.org/wp-content/uploads/2020/05/5-15-2020-PHO.pdf
https://www.newmexico.gov/2020/03/23/state-enacts-further-restrictions-to-stop-spread-including-stay-at-home-instruction/
https://www.abqjournal.com/1455269/lujan-grisham-to-address-public-health-orders.html",TRUE,"https://www.rrnm.gov/DocumentCenter/View/75981/Reopen_NM_Master_Doc_FINAL?bidId=
https://cv.nmhealth.org/stay-at-home-faqs/
https://nmml.org/wp-content/uploads/2020/05/Plan-Preview_4.30.20.pdf",,
New York,3/22/2020,Full,"Retail, Industries, Personal Care, Food and Drink, Outdoor and Recreation, Houses of Worship, Entertainment. ","Stay at home order was implemented. Food and drink establishments were the first to shut down, and within 5 days, all entertainment venues, outdoor and recreation facilities, and non essential retail and personal care services were closed. The stay at home order was extended from May 15th to June 13th. ",Executive Stay-at-Home Order,4/17/2020,The New York State On PAUSE order is Executive Order 202.6,https://www.governor.ny.gov/news/governor-cuomo-issues-guidance-essential-services-under-new-york-state-pause-executive-order   https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO202.6.pdf,5/15/2020,"Retail, Industries, Houses of Worship, Outdoor and Recreation",County-based,"Retail can offer curbside pickup in some regions. Construction, manufacturing in some regions, agriculture, hunting, fishing in some regions. Houses of worship are allowed to open under strict guidance and beaches may open. Groups of 10 or fewer people are allowed. ",Each county will begin a four phase reopening plan once they have reached certain requirements. A detailed explaination can be found here. ,0,R,10,10,M,"https://www.governor.ny.gov/news/no-2024-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency
https://www.governor.ny.gov/news/no-2023-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency
https://coronavirus.health.ny.gov/new-york-state-pause
https://www.governor.ny.gov/news/no-20231-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency
",TRUE,https://nymag.com/intelligencer/2020/05/when-will-new-york-reopen-phases-and-full-plan-explained.html,,
North Carolina,3/30/2020,Full,"Food and drink, retail, entertainment, outdoor and recreation, personal services, houses of worship","Retail that was non essential was forced to close. Restaurants were closed first, followed by entertainment, recreation, and personal services. The state legislature freaked out and tried to pass legislation to render the executive orders useless. ",Executive Stay-at-Home Order,4/29/2020,The initial order was set for 30 days after 03/30/2020.,https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf,5/8/2020,"Retail, food and drink, personal care, outdoor and recreation. ",Partial,"Retail stores could open with limits on May 8th. Restaurants, personal care businesses, and pools opened on May 22nd. ","Three phase plan:

Phase 1: Stay At Home order remains in place, people can leave home for commercial activity. Those retailers and services will need to implement social distancing, cleaning and other protocols. Gatherings limited to no more than 10 people. Parks can open subject to gathering limits. Face coverings recommended in public. Restrictions remain in place for nursing homes and other congregate living settings. Encourage continued teleworking

Phase 2: At least 2-3 weeks after Phase 1. Lift Stay At Home order with strong encouragement for vulnerable populations to continue staying at home. Allow limited opening of restaurants, bars and other businesses that can follow strict safety protocols (reduced capacity). Allow gathering at houses of worship and entertainment venues at reduced capacity Increase in number of people allowed at gatherings. Open public playgrounds. Continue rigorous restrictions on nursing homes and congregate living settings

Phase 3: At least 4-6 weeks after Phase 2. Lessen restrictions for vulnerable populations with encouragement to continue practicing physical distancing. Allow increased capacity at restaurants, bars, other businesses, houses of worship and entertainment venues. Further increase the number of people allowed at gatherings. Continue rigorous restrictions on nursing homes and congregate care settings",10,R,10,10,M,"https://files.nc.gov/governor/documents/files/EO135-Extensions.pdf
https://www.newsobserver.com/news/coronavirus/article242225991.html
https://www.newsobserver.com/news/coronavirus/article242733771.html",TRUE,https://files.nc.gov/governor/documents/files/NC-3-PHASE-PLAN.pdf,,
North Dakota,3/20/2020,Partial,"Retail, Personal Care, Food and Drink, Outdoor and Recreation, Entertainment. ","No stay at home order was issued. All restaurants, bars, and breweries were closed to in person service. All recreational facilities and entertainment venues were ordered to close. Personal care services were ordered to close. It was a staggered close over the course of a week. ",Executive Order,4/6/2020,"The initial order (2020-06) was set to last as long as the state of emergency declaration, i.e. without a definite expiration date. In the first ammendment to this order (2020-06.1), the earliest date when some businesses would be allowed to open was 04/06/2020.",https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-06.pdf   https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-6.1%20expanded%20business%20closures.pdf,5/1/2020,"Retail, Outdoor and Recreation, Personal Care, Entertainment, Food and Drink",Full,"As long as social distancing guidelines were followed, businesses were allowed to reopen. Hygiene guidelines were also released. Schools can start holding in person classes and extra curriculars beginning June 1st. Gatherings can take place up to 250 people or 50% of venue capacity. ",North Dakota Smart Restart Program. Details can be found here. ,10,G,250,500,M,"https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-6.1%20expanded%20business%20closures.pdf
https://www.governor.nd.gov/news/burgum-expands-business-closures-protect-health-suspends-unemployment-taxes-help-employers
https://www.npr.org/2020/05/01/847413697/midwest-coronavirus-related-restrictions-by-state",TRUE,https://ndresponse.gov/covid-19-resources/covid-19-business-and-employer-resources/nd-smart-restart/nd-smart-restart-protocols,,
Ohio,3/23/2020,Full,"Retail, Industries, Personal Care, Food and Drink, Outdoor and Recreation, Entertainment",Gatherings of more than 10 individuals were prohibited. All entertainment venues had to close. Non essential retail and in person dining was closed. Religious entities and first amendment speech were mentioned as essential under the Executive Order. ,Executive Stay-at-Home Order,4/7/2020,,https://content.govdelivery.com/attachments/OHOOD/2020/03/22/file_attachments/1407840/Stay%20Home%20Order.pdf,5/4/2020,Industries,Partial,"General office environments, manufacturing, distribution, and construction were all allowed to open with social distancing guidelines. More businesses, including retail and personal services, were approved to open on May 12th. Limited opening of restaurants, retail, and salons May 15th.","Responsible Restart Ohio plan. This plan includes a list of businesses that are to remain closed, sector specific operating requirements, contact tracing, and responsible protocols. ",10,R,10,10,M,"https://content.govdelivery.com/attachments/OHOOD/2020/03/22/file_attachments/1407840/Stay%20Home%20Order.pdf
https://governor.ohio.gov/wps/portal/gov/governor/media/news-and-media/covid19-update-april-27
https://coronavirus.ohio.gov/wps/portal/gov/covid-19/responsible-restart-ohio/Sector-Specific-Operating-Requirements/
https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/reopening-restaurants-bars-personal-care-services
https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-Safe-Ohio-Order.pdf",TRUE,"https://coronavirus.ohio.gov/wps/portal/gov/covid-19/responsible-restart-ohio/
https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-Safe-Ohio-Order.pdf",,
Oklahoma,4/1/2020,County-based,"food and drink, personal care, outdoor and recreation, entertainment","no state-wide stay at home order was issued. On April 1, the governor mandated state wide closures of non-essential businesses such as salons and gyms. This ""Safer at Home"" order requires those over the age of 65 or are immunocompromised to shelter in their homes. Started as a requirement for counties with confirmed cases of COVID-19 and then was later expanded to the entire state. ",Executive Order,4/23/2020,The initial order was set for 30 days after 03/24/2020.,https://www.sos.ok.gov/documents/executive/1919.pdf,4/24/2020,"retail, personal care, outdoor and recreation",Partial,"Phase one, part one allowed personal care to reopen for appointments only, state parks and outdoor recreation, and retail to open","Phased plan ""Open Up and Recover Safely"" offers sector-specific guidance and a phased approach to reopening:

phase 1 part 1 (April 24): personal care, state parks, outdoor recreation, and retail can open
phase 1 part 2 (May 1): dining, entertainment, sporting venues, gyms, places of worship, tattoo parlors can reopen with social distancing and sanitation protocols, bars remain closed
phase 2 (May 15): bars can operare with lowered capacity, funerals and weddings can resume, childrens nurseries at places of worship can reopen
phase 3 (June 1): unrestricted staffing of workplaces, summer camps reopen, still maintain limited visits to hospitals and senior care facilities

all phases require a 14 day period of ""manageable level"" of hospital and incident rates before moving forward ",10,R,10,50,M,"https://www.governor.ok.gov/articles/press_releases/governor-stitt-issues-seventh-amended-eo-2020-07
https://www.okcommerce.gov/wp-content/uploads/Open-Up-and-Recover-Safely-Plan.pdf
https://www.okcommerce.gov/covid19/ours-plan/",TRUE,,,
Oregon,3/23/2020,Full,"retail, entertainment, personal care, food and drink, outdoor and recreation",Issued a state-wide stay at home order reiterating social distancing and avoiding public gathering along with the mandated closure of non-essential businesses,Executive Stay-at-Home Order,,The initial order had no definite expiration date.,https://govsite-assets.s3.amazonaws.com/jkAULYKcSh6DoDF8wBM0_EO%2020-12.pdf,5/15/2020,"food and drink, personal care, retail, outdoor and recreation, houses of worship",County-based,28 counties were approved for entering phase 1 of reopening. Approval required counties to meet a declining prevalence of covid-19 and demonstrate they could meet preparedness criteria.,"Phase 1: restaurants and bars open for dine in until 10 pm, personal care services open, retail and malls open, gyms and fitness facilities open, and local gatherings of up to 25 people, all with additional safety guidance

Phase 2: TBD

Phase 3: mass gatherings allowed with live audiences, this ohase will require a widely available vaccine

",0,R,25,50,F,"https://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=36240
https://govstatus.egov.com/or-covid-19
https://www.myoregon.gov/2020/05/14/governor-kate-brown-announces-phase-i-counties-reopening/
https://www.myoregon.gov/2020/05/07/gov-kate-brown-releases-plan-for-rebuilding-a-safe-and-strong-oregon/",TRUE,,,
Pennsylvania,4/1/2020,Full,"retail, industries, personal care, food and drink, outdoor and recreation, entertainment","Full state under stay at home order on April 1, before that 33 counties had stay-at-home orders which began on March 23. The order required the closure fo schools and non-essential businesses",Executive Stay-at-Home Order,4/30/2020,,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,5/8/2020,"food and drink, retail",County-based,24 counties were allowed to enter the yellow phase,"phased reopening plan by county

red phase: stay at home order in place, large gatherings prohibited, restauratns and bars no dine-in, only essential businesses and travel

yellow phase: eased restrictions on social interactions, retail allowed, restaurant and bar outdoor dining allowed, maintain closures of schools, gyms, indoor rec centers, salons, and large gatherings prohibited.

green phase: eases most restrictions, 50% capacity businesses move to 75% capacity, gatherings max 250 people, restaurants/bars/personal care/gyms/entertainment at 50% capacity, construction activity returns to full capacity",0,R,25,250,M,"https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-pennsylvania-on-statewide-stay-at-home-order-beginning-at-8-pm-tonight-most-prudent-option-to-stop-the-spread/
https://www.pa.gov/guides/responding-to-covid-19/#PhasedReopening
https://www.governor.pa.gov/newsroom/gov-wolf-announces-reopening-of-24-counties-beginning-may-8/",TRUE,https://www.governor.pa.gov/plan-for-pennsylvania/,,
Rhode Island,3/28/2020,Partial,"food and drink, outdoor and recreation, personal care, retail, entertainment","On March 17 there was a state wide closure of bars and restaurants, and ban on gatherings of more than 25 people. This order was followed by further state mandated closure of recreation, personal care, and entertainment businesses on March 22nd. On March 28th a stay at home order was enacted and all non-essential retail was closed.",Executive Stay-at-Home Order,4/13/2020,,https://governor.ri.gov/documents/orders/Executive-Order-20-14.pdf,5/8/2020,"retail, outdoor and recreation, houses of worship,",Partial,"retail, parks, religious services all allowed to open under restrictions, but social gatherings still limited to five or fewer people.","phased plan ""Reopen RI"" included phase one, which began on May 8, and phase two, which would allow personal care businesses to reopen but would require at least a 14 day period of downward trends to implement and is scheduled for June 1. In phase two social gatherings of up to 15 people will be allowed. In Phase three social gatherings of up to 50 people will be allowed and most restrictions on businesses will be lifted for offices, retail, and restaurants.",5,R,5,15,F,"https://www.ri.gov/press/view/38033
https://www.ri.gov/press/view/38234
https://www.ri.gov/press/view/37924
https://www.ri.gov/press/view/38246
https://www.ri.gov/press/view/38234
https://www.reopeningri.com/
https://www.ri.gov/press/view/38012
https://www.ri.gov/press/view/38051",TRUE,https://www.ri.gov/press/view/38282,,
South Carolina,4/7/2020,Partial,"food and drink, entertainment, outdoor and recreation, personal care","First state order on March 17 ordered closure only addressed restaurants, bars, events of 50 people or more, and schools. Following this on March 31 was a further order to close non-essential businesses such as entertainment, outdoor and recreation, and personal care, and a later order on April 3 to close retail. The actual stay at home order to keep people home was issued on April 6th and went into effect on April 7th. ",Executive Stay-at-Home Order,5/4/2020,"The initial order was set to last as long as the state of emergency declaration, i.e. without a definite expiration date.",https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-04-06%20eFILED%20Executive%20Order%20No.%202020-21%20-%20Stay%20at%20Home%20or%20Work%20Order.pdf,4/20/2020,"retail, outdoor and recreation",Partial,"retail was allowed to operate at 20% capacity, restrictions were alleviated for public beaches and waterways as determined by local jurisdictions","the state does not have a full reopening plan, but has launched the ""Accelerate South Carolina"" website as a guide for citizens and businesses to follow as restrictions continue to be relaxed. Currently retail is open, beaches are open, limited restaruant dining in is allowed, and salons and close contact businesses reopened on May 18.

",3,R,3,3,M,"https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-31%20FINAL%20Executive%20Order%20No.%202020-17%20-%20Closure%20of%20Non-Essential%20Businesses.pdf
https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-17%20FINAL%20Executive%20Order%20No.%202020-10%20-%20Directing%20Additional%20Emergency%20Measures%20in%20Response%20to%20COVID-19.pdf
https://governor.sc.gov/news/2020-04/gov-henry-mcmaster-creates-acceleratesc-coordinated-economic-revitalization-plan
https://governor.sc.gov/executive-branch/acceleratesc",TRUE,"https://www.cnn.com/world/live-news/coronavirus-outbreak-03-23-20-intl-hnk/h_9b65f4dbb3e59b0ef2e6ec9e935004b8
https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-05-08%20FILED%20Executive%20Order%20No.%202020-34%20-%20Authorization%20of%20Limited%20Indoor%20Dining%20Services%20%26%20Rescission%20of%20Boating%20Restrictions.pdf",,
South Dakota,3/23/2020,Partial,"Retail, food and drink","There was no state-wide order for closures or shutdown. The earliest executive order regarding covid-19 suggested every state resident follow CDC health guidelines, practice social distancing, and for employers to encourage telework. Retail businesses were encouraged to modify to enable social distancing and to consider avoiding public gathering.",Executive Order,5/31/2020,,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-12.PDF,4/28/2020,All industries,Full,"Becasue the state never required any closures, the ""first opening"" was the unveiling of guidelines for businesses and residents to return to normal social interaction and lifestyle. ","The ""Back to Normal"" plan allows local officials to determine their own opening routes, but their locality must meet the following criteria in order to initiate the plan: 
1) downward trajectory of ILI for 14 day period and a plan for all symptomatic people to be able to recieve a test. 
2) downward trajectory of documented cases for 14 day period 
3) hospitals can treat all patients without crisis care, have a testing program in place for workers, and an adequate supply of protective equipment 
4) state has the capacity to rapidly investigate and contain cases

as was the case with closure, reopening remains entirely up to the individual business or operating entity as per local guidance.",10,G,10,10,F,"https://news.sd.gov/newsitem.aspx?id=26560
https://doh.sd.gov/documents/COVID19/COVID_SDPlan_BackToNormal.pdf",TRUE,,,
Tennessee,3/31/2020,Full,"personal care, food and drink, retail, outdoor and recreation, entertainment","The state-wide ""Safer at Home"" order on March 31 was preceded by the ""Safer at Home"" order in Nashville on March 23, and prior to that Davidson County issued limitations on restaurants and closure of bars on March 15, and a state-wide urge for schools to close was issued March 16. The state-wide ""safer at home"" order became mandated on April 4.",Executive Stay-at-Home Order,4/14/2020,,https://www.tn.gov/governor/news/2020/4/2/gov--lee-requires-tennesseans-to-remain-at-home-as-data-shows-increased-activity-among-citizens-.html,5/1/2020,"food and drink, retail, outdoor and recreation, personal care",County-based,"the order allows employees to return to work in ""all industries where that can be safely accomplished"" and recommends teleworking. Restaurants and retail are required to follow safety guidelines such as social distancing and operating at 50% capacity.","a followup order on May 6th approved close-contact services (personal care) for reopening in certain counties.

The reopening plan, called the ""Tennessee Pledge"" outlines guidelines for various sectors to open but does not indicate specific dates for phases. 

The most populated counties (Davidson, Shelby, Knox, Hamilton, Madison, and Sullivan) will be determining their own localized reopening plans",10,G,10,50,M,"https://www.tn.gov/content/dam/tn/governorsoffice-documents/covid-19-assets/Pledge_General.pdf
https://www.tn.gov/governor/news/2020/4/2/gov--lee-requires-tennesseans-to-remain-at-home-as-data-shows-increased-activity-among-citizens-.html
https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee22.pdf",TRUE,"https://www.thecentersquare.com/tennessee/tennessee-increases-gathering-limit-to-50-people-in-most-counties/article_6ff0276c-9bb6-11ea-9981-83ea3a7f94ec.html
https://www.tennessean.com/story/news/politics/2020/05/15/governor-bill-lee-lift-capacity-restrictions-tennessee-restaurants-attractions-retail/5201835002/",,
Texas,4/2/2020,Partial,"food and drink, outdoor and recreation, entertainment, personal care, retail","initial order on 3/20/20 limited gatherings to 10 people or fewer, temporarily shut down schools, and closed bars and restaurants, and visitation to nursing homes and retirement centers. This order replaced the city-based approach that had been the previous stance, and was superceded and extended by a stay-at-home order on April 2 which closed retail, and ordered gyms, fitness, salons and personal care, and entertainment businesses to operate at 25% capacity if they stayed open, with lowered restrictions for some counties.",Executive Stay-at-Home Order,4/30/2020,,https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-implements-statewide-essential-services-and-activities-protocols,5/1/2020,"retail, food and drink, entertainment, outdoor and recreation",Partial,"opening of retail stores, restaurants, movie theaters and malls, museums and libraries, with capacity limited to 25%, along with single person offices. Houses of worship remained open (were not ordered closed). Outdoor sports with fewer than 4 people became permissable.","phased plan for reopening began on May 1 with phase 1. Phase 2 allowed for swimming pools, bars, salons and personal care facilities, and amusement venues to open. Some aspects of the reopeneing plan are county based; in coutnies with fewer than five confirmed cases, occupancy opening can increase to 50% capacity. Phase 2 was approved on May 18 and will be amended or extended on June 3.",10,R,10,10,M,"https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-implementing-essential-services-and-activities-protocols
https://gov.texas.gov/uploads/files/press/EO-GA-23_phase_two_expanding_opening_COVID-19.pdf
https://gov.texas.gov/news/post/governor-abbott-announces-phase-one-to-open-texas-establishes-statewide-minimum-standard-health-protocols
https://gov.texas.gov/uploads/files/press/EO-GA-23_phase_two_expanding_opening_COVID-19.pdf
",TRUE,"https://thedailytexan.com/2020/05/18/abbott-sets-date-for-return-of-professional-sports-in-texas 
says in-person sports can return without spectators, youth sports can have parents at the game but they should practice SD
https://gov.texas.gov/news/post/governor-abbott-announces-phase-iii-to-open-texas2",,
Utah,3/17/2020,County-based,food and drink,"First shutdown ordered the closure of dine-in services for bars and restaurants, and limited gatherings to no more than ten people. This was followed by more extensive guidelines under the ""Stay home Stay safe"" directive on March 27th. Summit County, followed by Salt Lake County implemented stay-at-home orders, however the state did not.",State Directive,4/13/2020,,https://drive.google.com/file/d/1Qey2xIxAEqIxiiAHJyHSxBosmjetkbN7/view,5/1/2020,"food and drink, personal care, outdoor and recreation, retail",Partial,"overall state was changed from a red to orange risk level, and allowed resumed limited operation of dining, gyms, and salons. The change from red to orange meant citizens were still encouraged to stay home, maintain social distance, use face coverings, and avoid social gatherings of more than 20 people.","Color coded 4 phase reopening plan

red=high risk: extreme precautions, remote work, essential travel only, interactions of 10 or fewer people, schools closed, high-contact businesses encouraged not to operate

orange=moderate risk (May 1 most counties): as outlined in first reopening

yellow=low risk (May 17 most counties): dine-in allowed, rotating shifts for offices, retail open, entertainment open with limitations, industry/construction can operate in groups

green=""new normal"" risk: all businesses open, large groups allowed",10,G,20,50,M,"https://coronavirus.utah.gov/full-text-governors-stay-home-stay-safe-directive/
https://storymaps.arcgis.com/stories/cabf07b39a6046ee992f1630949a7c80
https://coronavirus-download.utah.gov/Governor/UtahLeads%20April2020%20v20%20(2).pdf",TRUE,,,
